1,9m4.210908064s
2,13m24.729855279s
3,12m27.703627735s
4,1h8m11.81745355s
5,6m49.863418937s
6,6m40.585221961s
7,27.882093457s
8,30m14.962447113s
9,9m40.912019755s
10,11.701144065s
11,7m21.684174609s
12,2m27.617503708s
13,4m54.255950129s
14,2m16.544176369s
15,5m34.001973517s
16,17m46.808434008s
17,4m8.938685996s
18,16m55.480528058s
19,7m7.076577859s
20,26m22.362644304s
21,15m30.978041337s
22,23m30.088126865s
23,20m20.766051557s
24,6m51.020812064s
25,20m27.321458323s
26,13m42.421835768s
27,8m36.295594251s
28,1m26.909890611s
29,2m2.614301231s
30,10m28.798147101s
31,32.467832905s
32,2m39.194326563s
33,1m12.97356078s
34,2m46.376491419s
35,5m33.177583181s
36,52.012416721s
37,19m9.451841958s
38,5m16.591628838s
39,6m26.0632221s
40,9m44.45729171s
41,1m31.985543698s
42,8m58.715451257s
43,35.184666941s
44,10m44.231852463s
45,12m57.602154207s
46,8m56.199027358s
47,2m27.627445728s
48,8m26.930428166s
49,1m4.669154377s
50,2m58.14809753s
51,8m41.775857344s
52,8m4.174408451s
53,9m27.442131275s
54,5.635788939s
55,5m32.266429698s
56,19m46.250489773s
57,2m28.589155847s
58,1m11.469359146s
59,21m47.938799707s
60,4m50.306989638s
61,11m29.930260043s
62,2m40.15132366s
63,5m59.807619489s
64,2m34.348285651s
65,37m41.484035632s
66,3m14.647773974s
67,18m31.898283065s
68,7m12.097241279s
69,3m0.508628713s
70,33.10218129s
71,38m46.663335421s
72,46.609403854s
73,14m30.472468305s
74,23m56.710614363s
75,55.740948312s
76,5m30.763995159s
77,5m35.842828974s
78,2m5.056683848s
79,12m41.082211836s
80,29m14.007759435s
81,10m14.194764086s
82,1m29.655498286s
83,10m50.328669027s
84,8m25.152983906s
85,7m28.852026711s
86,3m41.476532661s
87,9m1.999377919s
88,1m27.194942154s
89,8m38.420656325s
90,37m20.192014644s
91,3m13.955053846s
92,10m50.564194566s
93,14m35.174110506s
94,41.302796753s
95,12m44.706061886s
96,25m11.176396972s
97,4m44.873967122s
98,10m3.941923452s
99,17.023587291s
100,7m36.961406785s
101,2m53.0404402s
102,2m5.031126772s
103,1m15.624777945s
104,10m22.089130921s
105,56.283386099s
106,26m57.883754181s
107,6.628079375s
108,41.473285717s
109,24m39.802399727s
110,45m55.271276899s
111,10m13.800872287s
112,7m58.914381377s
113,35m49.463698103s
114,7m18.890438717s
115,5m18.176640515s
116,2m13.757723916s
117,19m0.753328504s
118,18m55.413682343s
119,38.71472321s
120,5m32.171916926s
121,11m35.50996788s
122,1m17.335904343s
123,26m53.956293012s
124,2m39.868661357s
125,9m37.551030518s
126,23m5.547005781s
127,7m12.489118327s
128,7m44.783229772s
129,8m28.220092226s
130,5m50.843959291s
131,48.438682018s
132,3m28.317941473s
133,13m4.324223907s
134,4m3.688110701s
135,33m48.187021233s
136,25.859139113s
137,3m50.085907039s
138,16m37.463556837s
139,1m2.53635496s
140,26.595028323s
141,10m1.680013369s
142,8m33.918746279s
143,7m10.598212094s
144,12m47.877964634s
145,11m51.770746932s
146,1m7.141746191s
147,5m37.827843523s
148,3m42.201862616s
149,2m34.248792622s
150,12m50.876513718s
151,1m41.391336578s
152,13m14.383631425s
153,31m49.880516493s
154,7m45.690329378s
155,2m20.155398397s
156,7m59.679447154s
157,41m53.94542237s
158,1m58.493952878s
159,10m50.693292132s
160,8m4.748925145s
161,44m40.376008891s
162,8m22.603975245s
163,18m7.517469708s
164,22m0.654207176s
165,17m10.255723484s
166,10m25.405674113s
167,3m41.258177162s
168,1m39.23041979s
169,34m47.795519181s
170,1m57.334267668s
171,21m6.414345669s
172,25m36.503621569s
173,5m32.437361985s
174,11m5.878861232s
175,11m52.363531905s
176,13m45.058856942s
177,2m15.247163609s
178,12m11.478652464s
179,35m24.130560481s
180,11m49.344330565s
181,17m42.377840019s
182,5m33.764112353s
183,5m33.916810556s
184,23m11.021387172s
185,17m54.104811616s
186,5m8.890418506s
187,9m35.767100964s
188,3m25.413527362s
189,11m50.497648308s
190,10m43.104505297s
191,4m47.928327904s
192,6m19.200483881s
193,4m21.834416971s
194,3m19.638644761s
195,23m30.520063647s
196,17m12.36363718s
197,8m47.275416938s
198,7m9.096595951s
199,25m58.062464002s
200,10m11.220598124s
201,11.917513826s
202,2m44.242697139s
203,11m31.960567782s
204,13m39.911060097s
205,1m46.248658966s
206,5m57.800413976s
207,32m55.468665651s
208,42m35.041997367s
209,1m50.231226591s
210,8m0.876868637s
211,5m47.077173679s
212,2m46.925890829s
213,1m10.649224558s
214,5m51.082059977s
215,12.842030902s
216,3m7.107454709s
217,42.684830497s
218,22m0.556677188s
219,1.048080789s
220,33m48.81952464s
221,29m4.76399569s
222,1m51.770220246s
223,14m1.812113123s
224,5m17.363376755s
225,8m39.90210942s
226,18m30.559620253s
227,12m28.063466815s
228,10m53.862614042s
229,5m23.240623157s
230,46m14.477549985s
231,4.526198073s
232,9m12.481681905s
233,4m38.820398859s
234,14m24.302577209s
235,14m59.859943629s
236,5m35.270300734s
237,38m21.292450897s
238,45.173657933s
239,12m19.615318871s
240,10m17.176731701s
241,21m57.428799858s
242,30m4.218138509s
243,4m48.337059464s
244,31m24.321617609s
245,1m55.204188999s
246,28m34.433093912s
247,8m5.080877151s
248,1m49.036363308s
249,4m34.439939125s
250,7m42.941270422s
251,4m57.758171271s
252,4m4.653219627s
253,19m55.837521138s
254,11m32.242143223s
255,1m14.879548579s
256,18m54.814896291s
257,14.551334775s
258,10m59.523074702s
259,3m13.343878879s
260,10m32.254331371s
261,6m48.852327854s
262,3m31.883542923s
263,33m47.631076849s
264,6m54.561649044s
265,22.898186334s
266,7m31.35164931s
267,9m5.372020227s
268,5m39.783689994s
269,6m55.691579296s
270,2m58.911712668s
271,4m18.149151243s
272,29m7.946939588s
273,6m20.137408422s
274,9m14.878627703s
275,1m7.446680787s
276,5m36.961537133s
277,23m46.483186172s
278,16m1.448414024s
279,4m10.276905738s
280,7m33.798546018s
281,10m10.585653301s
282,30m4.157080014s
283,3m45.309779907s
284,12.56603279s
285,12m28.916477057s
286,9m31.315434084s
287,7m54.602919944s
288,23m33.106463271s
289,12m21.28007483s
290,17m24.951729143s
291,4m4.16333889s
292,28.655614525s
293,13m39.185211142s
